Artists,Tracks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,track_popularity,artist_popularity
Miley Cyrus,Flowers,0.706,0.691,0,-4.775,1,0.0633,0.0584,6.99e-05,0.0232,0.632,91,82
SZA,Kill Bill,0.644,0.735,8,-5.747,1,0.0391,0.0521,0.144,0.161,0.418,86,88
Harry Styles,As It Was,0.52,0.731,6,-5.338,0,0.0557,0.342,0.00101,0.311,0.662,91,82
Jung Kook,Seven (feat. Latto) (Explicit Ver.),0.79,0.831,11,-4.185,1,0.044,0.312,0.0,0.0797,0.872,86,83
Eslabon Armado,Ella Baila Sola,0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,79,74
Taylor Swift,Cruel Summer,0.552,0.702,9,-5.707,1,0.157,0.117,2.06e-05,0.105,0.564,96,100
Metro Boomin,Creepin' (with The Weeknd & 21 Savage),0.715,0.62,1,-6.005,0,0.0484,0.417,0.0,0.0822,0.172,87,90
Rema,Calm Down (with Selena Gomez),0.799,0.802,11,-5.196,1,0.0371,0.429,0.00128,0.171,0.811,77,73
Bizarrap,"Shakira: Bzrp Music Sessions, Vol. 53",0.778,0.632,2,-5.6,0,0.0493,0.274,0.0,0.0915,0.498,81,82
Taylor Swift,Anti-Hero,0.637,0.643,4,-6.571,1,0.0519,0.13,1.8e-06,0.142,0.533,89,100
Arctic Monkeys,I Wanna Be Yours,0.464,0.417,0,-9.345,0,0.0256,0.136,0.022,0.0974,0.479,93,83
KAROL G,TQG,0.72,0.63,4,-3.547,0,0.277,0.673,0.0,0.0936,0.607,85,87
Yng Lvcas,La Bebe - Remix,0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,86,67
David Guetta,I'm Good (Blue),0.561,0.965,7,-3.673,0,0.0343,0.00383,7.07e-06,0.371,0.304,90,85
The Weeknd,Die For You,0.586,0.525,1,-7.163,0,0.0615,0.111,0.0,0.134,0.508,87,92
Grupo Frontera,un x100to,0.571,0.72,9,-4.089,1,0.0458,0.213,0.0,0.271,0.542,81,81
Sam Smith,Unholy (feat. Kim Petras),0.712,0.463,2,-7.399,1,0.0797,0.011,2.96e-06,0.301,0.206,78,80
Manuel Turizo,La Bachata,0.835,0.679,7,-5.329,0,0.0364,0.583,1.98e-06,0.218,0.85,87,80
PinkPantheress,Boy's a liar Pt. 2,0.696,0.809,5,-8.254,1,0.05,0.252,0.000128,0.248,0.857,74,73
David Kushner,Daylight,0.508,0.43,2,-9.475,0,0.0335,0.83,0.000441,0.093,0.324,90,74
Tom Odell,Another Love,0.442,0.538,4,-8.55,0,0.0451,0.717,2.95e-05,0.09,0.139,65,74
The Weeknd,Starboy,0.679,0.587,7,-7.015,1,0.276,0.141,6.35e-06,0.137,0.486,91,92
Yandel,Yandel 150,0.783,0.729,6,-3.549,0,0.0691,0.0492,0.000272,0.1,0.58,78,77
FIFTY FIFTY,Cupid - Twin Ver.,0.783,0.592,11,-8.332,0,0.0331,0.435,4.15e-06,0.347,0.726,68,64
The Weeknd,Die For You (with Ariana Grande) - Remix,0.575,0.5,1,-7.594,0,0.0707,0.227,0.0,0.335,0.506,81,92
OneRepublic,I Ain't Worried,0.697,0.802,0,-6.412,1,0.0456,0.0988,3.55e-05,0.0614,0.822,53,80
d4vd,Here With Me,0.574,0.469,4,-8.209,1,0.0254,0.534,9.21e-05,0.128,0.288,44,76
Morgan Wallen,Last Night,0.492,0.675,6,-5.456,1,0.0389,0.467,0.0,0.142,0.478,84,85
JVKE,golden hour,0.515,0.593,4,-4.801,1,0.0322,0.653,0.162,0.25,0.153,81,73
Stephen Sanchez,Until I Found You (with Em Beihold) - Em Beihold Version,0.551,0.55,10,-5.339,1,0.0286,0.777,0.0,0.202,0.342,87,73
Myke Towers,LALA,0.708,0.737,1,-4.045,1,0.0436,0.0739,0.00162,0.0955,0.607,87,85
Bizarrap,"Quevedo: Bzrp Music Sessions, Vol. 52",0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,0.55,84,82
Ozuna,Hey Mor,0.901,0.589,1,-6.713,0,0.289,0.00302,0.000237,0.0992,0.399,83,83
Feid,CLASSY 101,0.859,0.658,11,-4.79,1,0.159,0.145,0.0,0.12,0.672,80,88
Doja Cat,Paint The Town Red,0.864,0.556,2,-7.683,0,0.194,0.255,3.85e-06,0.112,0.726,81,84
The Neighbourhood,Sweater Weather,0.612,0.807,10,-2.81,1,0.0336,0.0495,0.0177,0.101,0.398,90,80
SZA,Snooze,0.559,0.551,5,-7.231,1,0.132,0.141,0.0,0.11,0.392,90,88
Taylor Swift,Blank Space,0.76,0.703,5,-5.412,1,0.054,0.103,0.0,0.0913,0.57,84,100
The Weeknd,Blinding Lights,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,90,92
Bad Bunny,WHERE SHE GOES,0.651,0.799,9,-4.02,0,0.0611,0.143,0.634,0.112,0.223,75,91
Jimin,Like Crazy,0.629,0.733,7,-5.445,1,0.0419,0.0025,0.0,0.357,0.362,91,78
Eminem,Mockingbird,0.637,0.678,0,-3.798,1,0.266,0.209,0.0,0.156,0.254,87,87
RAYE,Escapism.,0.538,0.742,2,-5.355,1,0.114,0.138,4.67e-05,0.0934,0.25,82,76
Olivia Rodrigo,vampire,0.511,0.532,5,-5.745,1,0.0578,0.177,0.0,0.291,0.35,90,86
Peso Pluma,PRC,0.784,0.826,7,-6.34,0,0.0538,0.0965,7.09e-05,0.123,0.893,75,88
"Tyler, The Creator",See You Again (feat. Kali Uchis),0.558,0.559,6,-9.222,1,0.0959,0.371,7.49e-06,0.109,0.62,89,82
Bad Bunny,Me Porto Bonito,0.911,0.712,1,-5.105,0,0.0817,0.0901,2.68e-05,0.0933,0.425,86,91
NewJeans,OMG,0.804,0.771,9,-4.067,0,0.0433,0.357,3.07e-06,0.108,0.739,82,77
Natanael Cano,AMG,0.772,0.73,11,-6.657,0,0.0972,0.152,0.000107,0.274,0.786,73,86
d4vd,Romantic Homicide,0.571,0.544,6,-10.613,1,0.0299,0.453,0.00805,0.322,0.216,88,76
