Tracks,Artist
Last Night,Morgan Wallen
Flowers,Miley Cyrus
Kill Bill,SZA
Anti-Hero,Taylor Swift
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Calm Down,Rema & Selena Gomez
Die For You,The Weeknd & Ariana Grande
Fast Car,Luke Combs
Snooze,SZA
I'm Good (Blue),David Guetta & Bebe Rexha
Unholy,Sam Smith & Kim Petras
You Proof,Morgan Wallen
Something In The Orange,Zach Bryan
Rich Flex,Drake & 21 Savage
As It Was,Harry Styles
Rock And A Hard Place,Bailey Zimmerman
Under The Influence,Chris Brown
Cruel Summer,Taylor Swift
Thinkin' Bout Me,Morgan Wallen
"Boy's A Liar, Pt. 2",PinkPantheress & Ice Spice
Favorite Song,Toosii
Thought You Should Know,Morgan Wallen
Thank God,Kane Brown With Katelyn Brown
Sure Thing,Miguel
All My Life,Lil Durk Featuring J. Cole
Ella Baila Sola,Eslabon Armado X Peso Pluma
Karma,Taylor Swift Featuring Ice Spice
Just Wanna Rock,Lil Uzi Vert
Cuff It,Beyonce
Vampire,Olivia Rodrigo
Fukumean,Gunna
Lavender Haze,Taylor Swift
Players,Coi Leray
Need A Favor,Jelly Roll
Dance The Night,Dua Lipa
Love You Anyway,Luke Combs
One Thing At A Time,Morgan Wallen
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown"
Bad Habit,Steve Lacy
La Bebe,Yng Lvcas x Peso Pluma
Golden Hour,JVKE
Religiously,Bailey Zimmerman
Spin Bout U,Drake & 21 Savage
Cupid,Fifty Fifty
Search & Rescue,Drake
Barbie World,Nicki Minaj & Ice Spice With Aqua
Next Thing You Know,Jordan Davis
Escapism,RAYE Featuring 070 Shake
Un x100to,Grupo Frontera X Bad Bunny
Until I Found You,Stephen Sanchez
Shirt,SZA
Paint The Town Red,Doja Cat
Made You Look,Meghan Trainor
Wait In The Truck,HARDY Featuring Lainey Wilson
All I Want For Christmas Is You,Mariah Carey
Everything I Love,Morgan Wallen
Chemical,Post Malone
Heart Like A Truck,Lainey Wilson
"Going, Going, Gone",Luke Combs
Rockin' Around The Christmas Tree,Brenda Lee
Dancin' In The Country,Tyler Hubbard
Daylight,David Kushner
Lift Me Up,Rihanna
Eyes Closed,Ed Sheeran
TQG,Karol G x Shakira
Try That In A Small Town,Jason Aldean
Tennessee Orange,Megan Moroney
Jingle Bell Rock,Bobby Helms
Princess Diana,Ice Spice & Nicki Minaj
Tomorrow 2,GloRilla & Cardi B
A Holly Jolly Christmas,Burl Ives
Where She Goes,Bad Bunny
Bebe Dame,Fuerza Regida X Grupo Frontera
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
I Like You (A Happier Song),Post Malone Featuring Doja Cat
What It Is (Block Boy),Doechii Featuring Kodak Black
Nobody Gets Me,SZA
Rich Men North Of Richmond,Oliver Anthony Music
Super Freaky Girl,Nicki Minaj
Dial Drunk,Noah Kahan With Post Malone
What Was I Made For?,Billie Eilish
Seven,Jung Kook Featuring Latto
Wait For U,Future Featuring Drake & Tems
Last Christmas,Wham!
Handle On You,Parker McCollum
Por Las Noches,Peso Pluma
Memory Lane,Old Dominion
Area Codes,Kaliii
Bury Me In Georgia,Kane Brown
PRC,Peso Pluma X Natanael Cano
What My World Spins Around,Jordan Davis
Ain't That Some,Morgan Wallen
Wild As Her,Corey Kent
Peaches & Eggplants,Young Nudy Featuring 21 Savage
I Wrote The Book,Morgan Wallen
"Bzrp Music Sessions, Vol. 53",Bizarrap & Shakira
Meltdown,Travis Scott Featuring Drake
Put It On Da Floor Again,Latto Featuring Cardi B
Bloody Mary,Lady Gaga
Watermelon Moonshine,Lainey Wilson
