Artist and Title,Streams,Daily
Harry Styles - As It Was,3168154745,2041845.0
SZA - Kill Bill,1781957680,1664092.0
Bad Bunny - Me Porto Bonito,1765927084,1130014.0
"Bizarrap - Quevedo: Bzrp Music Sessions, Vol. 52",1658055908,816698.0
Manuel Turizo - La Bachata,1638898283,1813218.0
David Guetta - I’m Good (Blue),1578000009,1758152.0
OneRepublic - I Ain't Worried,1531309795,1664738.0
Sam Smith - Unholy,1520285895,868736.0
Taylor Swift - Anti-Hero,1515520439,1071717.0
Bad Bunny - Tití Me Preguntó,1481609471,722105.0
Bad Bunny - Ojitos Lindos,1385363390,761690.0
Rema - Calm Down,1345396135,1091029.0
Metro Boomin - Creepin',1290162390,1083639.0
Bad Bunny - Efecto,1261396171,662255.0
Joji - Glimpse of Us,1227341791,814364.0
Imagine Dragons - Bones,1175132804,1207380.0
KAROL G - PROVENZA,1147926940,867087.0
JVKE - golden hour,1086935413,919534.0
d4vd - Romantic Homicide,1077611950,1270868.0
Bad Bunny - Moscow Mule,1075683831,663709.0
Steve Lacy - Bad Habit,1055193519,708730.0
Rosa Linn - SNAP,993774068,1029707.0
ROSALÍA - DESPECHÁ,972514250,700845.0
Stephen Sanchez - Until I Found You,958688525,1101098.0
Ozuna - Hey Mor,955666707,717042.0
Drake - Jimmy Cooks,935015862,848492.0
Harry Styles - Late Night Talking,930565997,684061.0
Charlie Puth - Left and Right (Feat. Jung Kook of BTS),924009007,531897.0
SZA - Snooze,920150084,1735337.0
Feid - Feliz Cumpleaños Ferxxo,898707160,975211.0
Camila Cabello - Bam Bam,890173115,383124.0
Becky G - MAMIII,881267628,648179.0
Nicky Youre - Sunroof,844281717,704423.0
Noah Kahan - Stick Season,841742399,2989773.0
Lizzo - About Damn Time,834573177,299049.0
Zach Bryan - Something in the Orange,827338800,1302743.0
Swedish House Mafia - Moth To A Flame,822776840,606297.0
Yandel - Yandel 150,816222050,516835.0
Bad Bunny - Neverita,811423486,439324.0
Jack Harlow - First Class,805871415,387251.0
Post Malone - I Like You (A Happier Song),804893006,550546.0
Drake - Rich Flex,792568059,493848.0
Beyoncé - CUFF IT,778317064,437107.0
RAYE - Escapism.,775326499,722087.0
Future - WAIT FOR U,750090887,524868.0
Taylor Swift - Karma,747680259,645020.0
Sabrina Carpenter - Nonsense,737636550,1883271.0
Bad Bunny - Tarot,722846955,411181.0
Panic! At The Disco - House of Memories,715349236,432874.0
Bad Bunny - Party,710033207,327779.0
Shakira - Te Felicito,709186659,267412.0
BLACKPINK - Pink Venom,708942826,628352.0
Mora - LA INOCENTE,708293192,658505.0
Arcángel - La Jumpa,700486590,386975.0
Taylor Swift - Lavender Haze,691950705,389853.0
Meghan Trainor - Made You Look,691081614,764082.0
Feid - Normal,688468318,809396.0
Metro Boomin - Superhero (Heroes & Villains) [with Future & Chris Brown],669932925,841059.0
Benson Boone - In The Stars,669237471,1013569.0
Central Cee - Doja,654194547,510785.0
Carin Leon - Que Vuelvas,652095892,764849.0
Natanael Cano - AMG,649818230,424931.0
Lil Uzi Vert - Just Wanna Rock,646788924,474436.0
Kordhell - MURDER IN MY MIND,643433377,561234.0
Taylor Swift - Midnight Rain,638642233,419480.0
